< 22:16:17.372.194        72e      21 23 01 01 01 02 01 01 
< 22:16:17.499.571        726      03 22 de 28 00 00 00 00 
< 22:16:17.503.380        72e      10 0d 62 de 28 04 01 00 
< 22:16:17.503.967        726      30 00 00 00 00 00 00 00 
< 22:16:17.512.278        72e      21 01 03 00 01 00 01 01 
< 22:16:17.638.774        726      03 22 de 29 00 00 00 00 
< 22:16:17.642.371        72e      10 0d 62 de 29 01 00 00 
< 22:16:17.642.924        726      30 00 00 00 00 00 00 00 
< 22:16:17.652.487        72e      21 00 00 00 00 00 00 00 
< 22:16:17.753.066        726      03 22 de 2a 00 00 00 00 
< 22:16:17.762.370        72e      10 0d 62 de 2a 01 00 05 
< 22:16:17.762.945        726      30 00 00 00 00 00 00 00 
< 22:16:17.772.288        72e      21 00 00 00 00 00 00 00 
< 22:16:17.898.289        726      03 22 de 2b 00 00 00 00 
< 22:16:17.903.178        72e      10 0d 62 de 2b 01 01 00 
< 22:16:17.903.782        726      30 00 00 00 00 00 00 00 
< 22:16:17.912.255        72e      21 01 01 00 01 00 01 02 
< 22:16:18.005.670        726      03 22 de 2c 00 00 00 00 
< 22:16:18.012.274        72e      10 0d 62 de 2c 0a 01 11 
< 22:16:18.012.830        726      30 00 00 00 00 00 00 00 
< 22:16:18.022.277        72e      21 00 01 00 01 01 00 01 
< 22:16:18.124.646        726      03 22 de 2d 00 00 00 00 
< 22:16:18.132.300        72e      10 0d 62 de 2d 00 01 01 
< 22:16:18.132.860        726      30 00 00 00 00 00 00 00 
< 22:16:18.142.246        72e      21 01 00 00 00 01 01 00 
< 22:16:18.241.047        726      03 22 de 2e 00 00 00 00 
< 22:16:18.252.390        72e      10 0d 62 de 2e 01 01 01 
< 22:16:18.253.373        726      30 00 00 00 00 00 00 00 
< 22:16:18.262.311        72e      21 01 00 01 01 00 00 01 
< 22:16:18.359.876        726      03 22 de 2f 00 00 00 00 
< 22:16:18.362.342        72e      10 0d 62 de 2f 01 01 00 
< 22:16:18.362.896        726      30 00 00 00 00 00 00 00 
< 22:16:18.372.300        72e      21 01 01 01 00 00 00 01 
< 22:16:18.497.993        726      03 22 de 30 00 00 00 00 
< 22:16:18.503.128        72e      10 0d 62 de 30 00 00 00 
< 22:16:18.503.712        726      30 00 00 00 00 00 00 00 
< 22:16:18.512.211        72e      21 00 01 00 08 00 0b 01 
< 22:16:18.641.753        726      03 22 de 31 00 00 00 00 
< 22:16:18.652.111        72e      04 62 de 31 10 00 00 00 
< 22:16:18.759.594        726      03 22 de 32 00 00 00 00 
< 22:16:18.762.453        72e      10 1b 62 de 32 00 00 00 
< 22:16:18.763.003        726      30 00 00 00 00 00 00 00 
< 22:16:18.772.022        72e      21 00 00 00 00 00 00 00 
< 22:16:18.783.119        72e      22 00 00 00 00 00 00 00 
< 22:16:18.792.312        72e      23 00 00 00 00 00 00 00 
< 22:16:18.923.379        726      03 22 de 33 00 00 00 00 
< 22:16:18.932.142        72e      10 1b 62 de 33 00 00 00 
< 22:16:18.932.720        726      30 00 00 00 00 00 00 00 
< 22:16:18.942.393        72e      21 00 00 00 00 00 00 00 
< 22:16:18.952.343        72e      22 00 00 00 00 00 00 00 
< 22:16:18.962.305        72e      23 00 00 00 00 00 00 00 
< 22:16:19.091.277        726      03 22 de 34 00 00 00 00 
< 22:16:19.103.172        72e      10 1b 62 de 34 00 00 00 
< 22:16:19.103.779        726      30 00 00 00 00 00 00 00 
< 22:16:19.112.142        72e      21 00 00 00 00 00 00 00 
< 22:16:19.122.379        72e      22 00 00 00 00 00 00 00 
< 22:16:19.132.026        72e      23 00 00 00 00 00 00 00 
< 22:16:19.251.596        726      03 22 de 35 00 00 00 00 
< 22:16:19.262.410        72e      10 1b 62 de 35 00 00 00 
< 22:16:19.262.986        726      30 00 00 00 00 00 00 00 
< 22:16:19.272.227        72e      21 00 00 00 00 00 00 00 
< 22:16:19.282.648        72e      22 00 00 00 00 00 00 00 
< 22:16:19.292.053        72e      23 00 00 00 00 00 00 00 
< 22:16:19.474.140        726      03 22 de 36 00 00 00 00 
< 22:16:19.483.161        72e      10 0d 62 de 36 01 01 01 
< 22:16:19.483.722        726      30 00 00 00 00 00 00 00 
< 22:16:19.492.006        72e      21 01 01 01 01 01 01 01 
< 22:16:19.637.859        726      03 22 de 37 00 00 00 00 
< 22:16:19.642.140        72e      10 0d 62 de 37 01 01 00 
< 22:16:19.642.694        726      30 00 00 00 00 00 00 00 
< 22:16:19.652.076        72e      21 00 01 01 01 01 01 00 
< 22:16:19.793.315        726      03 22 de 38 00 00 00 00 
< 22:16:19.802.649        72e      10 0d 62 de 38 00 00 01 
< 22:16:19.803.212        726      30 00 00 00 00 00 00 00 
< 22:16:19.812.119        72e      21 00 01 00 0a 00 0a 00 
< 22:16:19.989.149        726      03 22 de 39 00 00 00 00 
< 22:16:19.992.209        72e      10 0d 62 de 39 01 01 01 
< 22:16:19.992.801        726      30 00 00 00 00 00 00 00 
< 22:16:20.002.113        72e      21 01 01 00 00 00 00 00 
< 22:16:20.182.372        726      03 22 de 3a 00 00 00 00 
< 22:16:20.192.015        72e      10 0d 62 de 3a 00 01 01 
< 22:16:20.192.573        726      30 00 00 00 00 00 00 00 
< 22:16:20.202.649        72e      21 00 00 01 00 00 00 00 
< 22:16:20.354.335        726      03 22 de 3b 00 00 00 00 
< 22:16:20.362.155        72e      10 0d 62 de 3b 01 00 00 
< 22:16:20.362.714        726      30 00 00 00 00 00 00 00 
< 22:16:20.372.035        72e      21 00 00 01 01 00 00 00 
< 22:16:20.498.712        726      03 22 de 3c 00 00 00 00 
< 22:16:20.503.217        72e      10 0d 62 de 3c 03 00 00 
< 22:16:20.503.804        726      30 00 00 00 00 00 00 00 
< 22:16:20.511.949        72e      21 32 00 14 00 00 00 01 
< 22:16:20.645.784        726      03 22 de 3d 00 00 00 00 
< 22:16:20.652.200        72e      10 0d 62 de 3d 00 96 00 
< 22:16:20.652.752        726      30 00 00 00 00 00 00 00 
< 22:16:20.662.105        72e      21 11 00 07 64 05 01 00 
< 22:16:20.826.160        726      03 22 de 3e 00 00 00 00 
< 22:16:20.832.110        72e      10 0d 62 de 3e 00 00 00 
< 22:16:20.832.670        726      30 00 00 00 00 00 00 00 
< 22:16:20.842.002        72e      21 00 00 00 00 00 00 00 
< 22:16:21.197.646        723      03 22 d1 00 00 00 00 00 
< 22:16:21.204.906        72b      04 62 d1 00 01 00 00 00 
